id,name,text,openness,conscientiousness,extraversion,agreeableness,neuroticism
10,User_O_10,Saya senang bereksperimen dengan pendekatan berbeda,1,0,0,0,0
99,User_E_19,Saya mudah memotivasi dan menginspirasi orang lain,0,0,1,0,0
155,User_A_35,Saya tidak terlalu mudah sympathize dengan drama orang lain,0,0,0,0,0
173,User_N_13,Saya mudah frustrated saat sesuatu tidak sesuai rencana,0,0,0,0,1
33,User_O_33,Saya lebih memilih aktivitas yang konkret dan jelas,0,0,0,0,0
46,User_C_6,Saya memiliki sistem filing yang rapi dan teratur,0,1,0,0,0
84,User_E_4,Saya suka menjadi pusat perhatian dalam diskusi,0,0,1,0,0
130,User_A_10,Saya selalu berusaha fair dan adil dalam berinteraksi,0,0,0,1,0
29,User_O_29,Saya merasa lebih aman dengan hal-hal yang familiar,0,0,0,0,0
191,User_N_31,Saya tidak mudah anxious dalam situasi baru,0,0,0,0,0
118,User_E_38,Saya lebih memilih bekerja di belakang layar,0,0,0,0,0
157,User_A_37,Saya tidak terlalu suka dengan consensus building yang lama,0,0,0,0,0
108,User_E_28,Saya merasa lelah setelah interaksi sosial yang intens,0,0,0,0,0
62,User_C_22,Saya kurang terorganisir dalam mengatur jadwal,0,0,0,0,0
37,User_O_37,Saya lebih suka mengikuti aturan yang sudah ditetapkan,0,0,0,0,0
178,User_N_18,Saya sering restless dan sulit relax,0,0,0,0,1
165,User_N_5,Saya sering merasa anxious dalam situasi baru,0,0,0,0,1
41,User_C_1,Saya selalu menyelesaikan pekerjaan tepat waktu,0,1,0,0,0
149,User_A_29,Saya tidak terlalu mudah influenced oleh opinion orang lain,0,0,0,0,0
87,User_E_7,Saya senang berbagi cerita dan pengalaman,0,0,1,0,0
77,User_C_37,Saya kadang tidak thorough dalam review hasil,0,0,0,0,0
128,User_A_8,Saya peduli dengan kesejahteraan dan perasaan orang lain,0,0,0,1,0
187,User_N_27,Saya relaxed dan easy-going dalam berinteraksi,0,0,0,0,0
